TN,STAR_ID,BINNING,AO_FRAMERATE,DIMM_MEDIAN,WFS_MAG_MEDIAN,LAMBDA_LUCI,SR_LUCI,SR_SLOPES_CASE,SR_SLOPES_TTFREE_CASE,TT_RESIDUAL_NM,std_fit,std_temp,std_vibr,std_alias,std_meas,std_tt,std_total,sr_estimation,TT_RESIDUAL_EB_NM,TT_RESIDUAL_DIFF_NM,TT_RESIDUAL_RATIO,SR_SAEB,SR_DIFF,SR_ESTIMATION
20230507_055501,G 223-36,2,877.0,1.1254301071166992,13.333983421325684,1646.0,0.48637551069259644,0.5721490383148193,0.5991960167884827,56.43839157114885,163.99730688881726,115.49223610842158,0.0,87.7530119226922,138.41629766649552,88.75072152924076,259.02362021505365,0.5785332530005021,88.75072152924076,-32.312329958091915,0.6359203688564273,0.3761979937553406,-0.11017751693725586,0.5785332530005021
20230428_075123,G135-21,2,1040.0,1.3315199613571167,12.846750259399414,1646.0,0.32197752594947815,0.3318954110145569,0.3706558048725128,87.27598931085593,188.66630471875803,117.97669442070436,0.0,120.64154519897566,145.7540120478623,101.87286160749638,292.08233328757217,0.498642966896062,101.87286160749638,-14.596872296640441,0.8567148103399668,0.28848472237586975,-0.0334928035736084,0.498642966896062
20230507_040653,HD 238049,1,1700.0,1.071560025215149,10.259103775024414,1646.0,0.727869987487793,0.8037834763526917,0.8358137011528015,51.91084688376297,95.81811216622118,47.73816445111893,0.0,28.31271912244868,50.9557275723096,23.289418724259473,121.89396704017275,0.8858626596220402,23.289418724259473,28.6214281595035,2.2289455781775236,0.8053298592567444,0.07745987176895142,0.8858626596220402
20230507_030749,HD 87705,1,1700.0,1.0369499921798706,8.995275497436523,1646.0,0.5962333083152771,0.8195846676826477,0.8556289076805115,54.479791165683395,93.23207871539094,36.247158394041776,0.0,26.716930836056065,34.6872984571764,17.470329667743947,109.19285718759923,0.9073264584185737,17.470329667743947,37.00946149793945,3.118418037999091,0.8405191898345947,0.24428588151931763,0.9073264584185737
20230427_083640,LP 134-72,3,278.0,1.0697200298309326,16.00567626953125,2200.0,0.2876133918762207,0.2884547710418701,0.37334030866622925,133.37473663567104,229.6781852455635,225.598437802955,0.0,150.6563400186095,299.1554273919941,203.67480783575792,464.5837130622625,0.1719544665294858,203.67480783575792,-70.30007120008688,0.6548415980007876,0.1719544678926468,-0.11565892398357391,0.1719544665294858
20230427_111423,LP 227-9,2,783.0,0.883481502532959,14.006664276123047,1646.0,0.3906431198120117,0.6128132939338684,0.6781057715415955,83.55770675636053,134.040434295216,105.69107041763002,0.0,57.048490237077964,134.0274112605449,76.22143363571152,224.39990552495286,0.6631638991948576,76.22143363571152,7.336273120649011,1.096249476960924,0.4801073968410492,0.08946427702903748,0.6631638991948576
20230427_100522,LP 228-31,4,170.0,0.9110435247421265,17.57313346862793,2200.0,0.2571897506713867,0.05537410080432892,0.31959065794944763,347.6852269091776,252.83809934980314,347.9586555354894,0.0,157.01025961024877,428.0634811605284,303.60907617351484,626.8116909974112,0.040570720573244165,303.60907617351484,44.076150735662736,1.145174022104902,0.04057072475552559,-0.21661902964115143,0.040570720573244165
20230427_102715,LP 228-31,4,171.0,0.9486969709396362,17.56171226501465,2200.0,0.24054625630378723,0.09105680882930756,0.3079318106174469,289.86654271819776,261.51674803686257,357.8730841826648,0.0,162.97783023018184,449.5042412449983,316.15487488252944,651.9815871096116,0.031202750192702033,316.15487488252944,-26.288332164331678,0.9168498281922765,0.03120274655520916,-0.20934350788593292,0.031202750192702033
20230508_042003,LP 269-41,3,837.0,0.9719505310058594,14.667074203491211,1646.0,0.341050386428833,0.30814483761787415,0.3367883861064911,78.29211170588736,212.04666317937475,158.22664624018438,0.0,132.32416510449048,168.39256630337962,135.70175606137096,340.3897765837896,0.3886494773848768,135.70175606137096,-57.40964435548359,0.5769425096494687,0.18483096361160278,-0.15621942281723022,0.3886494773848768
20230406_114727,LP 279-11,4,268.0,0.7543264627456665,16.14423942565918,2200.0,0.34653913974761963,0.07834675163030624,0.43466177582740784,343.7450555146456,216.0359524091065,190.77295769822823,0.0,140.7900476734162,220.5811431849125,172.63513410084178,389.28618312866615,0.2905160553103905,172.63513410084178,171.10992141380385,1.9911651084526802,0.29051607847213745,-0.05602306127548218,0.2905160553103905
